Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
663_Thegroovesuiteshtl-TBS,663_Thegroovesuiteshtl-TBS|441PL754E_CO|430980|34,37,41%,-77.02702703,NOT GO -> Have Pico
663_Thegroovesuiteshtl-TBS,663_Thegroovesuiteshtl-TBS|441PL754E_CO|430980|37,16,16%,-82.375,NOT GO -> Have Pico
663_Thegroovesuiteshtl-TBS,663_Thegroovesuiteshtl-TBS|4431977E|431108|4,7,10%,-84.42857143,NOT GO -> Have Pico
663_Thegroovesuiteshtl-TBS,663_Thegroovesuiteshtl-TBS|4431977E|431108|7,4,9%,-83,NOT GO -> Have Pico
253_Rsbudiasih,253_Rsbudiasih|4435173E_CO|430200|17,4,7%,-109.5,OK -> GO
755_Pccwoffice-IBS,755_Pccwoffice-IBS|441PL060E_CO|430857|24,160,32%,-96.55625,NOT GO -> Covered by Solution at Surrounding
664_Thepeakir1-MAC,664_Thepeakir1-MAC|4411274E_CO|430032|3,1,5%,-93,NOT GO -> Have Pico
664_Thepeakir1-MAC,664_Thepeakir1-MAC|441PC903E_CO|420582|4,22,39%,-87.63636364,NOT GO -> Have Pico
735_Htlambhara,735_Htlambhara|MC4411055E_CO|430135|2,1,7%,-113,NOT GO -> Have Pico
50_TRANS PARK JUANDA BEKASI,50_TRANS PARK JUANDA BEKASI|4451432E_CO|450998|1,21,7%,-97.52380952,OK -> GO
665_Univatmajayasemanggisysinfo,665_Univatmajayasemanggisysinfo|441PL026E_CO|421102|25,33,78%,-69.93939394,NOT GO -> Have Pico
894_Wtcmatahari,894_Wtcmatahari|4471882E_CO|470288|7,2,7%,-99,OK -> GO
666_WIRAUSAHA,666_WIRAUSAHA|441PL486E_CO|430977|26,22,11%,-92.22727273,NOT GO -> Have Pico
666_WIRAUSAHA,666_WIRAUSAHA|4435024E-LTE-TAMAN-RASUNA|430033|6,95,55%,-86.93684211,NOT GO -> Have Pico
666_WIRAUSAHA,666_WIRAUSAHA|4435024E-LTE-TAMAN-RASUNA|430033|9,43,19%,-94.09302326,NOT GO -> Have Pico
667_Wismabaja,667_Wismabaja|441PC433E_CO|430704|25,6,19%,-92.33333333,NOT GO -> Have Pico
667_Wismabaja,667_Wismabaja|441PC433E_CO|430704|28,10,11%,-93.8,NOT GO -> Have Pico
667_Wismabaja,667_Wismabaja|441PC433E_CO|430704|4,65,50%,-78.63076923,NOT GO -> Have Pico
668_Wismabakrie1,668_Wismabakrie1|4411274E_CO|430032|4,12,23%,-77.58333333,NOT GO -> Good Coverage from Surrounding
668_Wismabakrie1,668_Wismabakrie1|4411274E_CO|430032|7,8,14%,-88,NOT GO -> Good Coverage from Surrounding
668_Wismabakrie1,668_Wismabakrie1|441PX188E_CO|430717|4,393,7%,-81.40966921,NOT GO -> Good Coverage from Surrounding
