Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
11_UPH KEDOKTERAN KARAWACI,11_UPH KEDOKTERAN KARAWACI|4412268E_CO|470563|1,4945,11%,-81.875,NOT GO -> Covered by Solution at Surrounding
1042_PASAR PAGI,1042_PASAR PAGI|4413413E_CO|420479|5,4941,8%,-83.81818182,NOT GO -> Good Coverage from Surrounding
520_Htlibisslipi,520_Htlibisslipi|441PC531E_CO|420876|27,4938,6%,-94.27272727,NOT GO -> Have Pico
737_Htlfalatehan,737_Htlfalatehan|SH4431357E-LTE-SISINGAMANGARAJA-GUNUNG|430483|4,4938,5%,-86.74074074,NOT GO -> Covered by Surrounding
402_Dprnsantara3,402_Dprnsantara3|441PC830E-LTE-MPR-DPR|430279|4,4934,8%,-92.86075949,NOT GO -> Have Pico
335_Nispgnsahari,335_Nispgnsahari|4415690E|410890|5,4921,5%,-75.14814815,NOT GO -> Have Pico
94_Aptregatta,94_Aptregatta|441PX218E|420818|25,4897,7%,-100.1656051,NOT GO -> Have Pico
550_Mugigriya,550_Mugigriya|441PL058E_C2|430839|11,4897,7%,-82.25,NOT GO -> Covered by Solution at Surrounding
867_Airporthubswissbell-ACA,867_Airporthubswissbell-ACA|441PL147E_CO|471500|25,4875,11%,-83.57142857,NOT GO -> Have Pico
440_Psrtnbgblokf,440_Psrtnbgblokf|441PX303E|420848|7,4872,14%,-94.66666667,NOT GO -> Have Pico
480_Menara1Bcaklpgading,480_Menara1Bcaklpgading|441PC255E_CO|410438|22,4869,6%,-80.42857143,NOT GO -> Have Pico
14_GDGUSAYANA,14_GDGUSAYANA|4415732E_BB|411285|17,4868,10%,-83.8,NOT GO -> Covered by Surrounding
132_Htldiscoveryancol,132_Htldiscoveryancol|441PL709E_CO|421339|16,4863,7%,-97.62068966,NOT GO -> Have Pico
367_Htlibistmrin,367_Htlibistmrin|441PL461E-LTE-HOTEL-ORIA|420513|4,4863,6%,-76.02173913,NOT GO -> Have Pico
235_Sniperbeacukaipusat-TBS,235_Sniperbeacukaipusat-TBS|441PL580E_CO|411032|35,4862,8%,-76.825,NOT GO -> Have Pico
1301_Springlake Residence,1301_Springlake Residence|MC4412812E-LTE-TAMAN-TITAN-INDAH|410560|8,4857,8%,-100.6809816,OK -> GO
177_Walikotajkb,177_Walikotajkb|4425666E_CO|420248|2,4853,9%,-86.91666667,NOT GO -> Have Pico
371_Htlsrpacific,371_Htlsrpacific|441PC430E_CO|420869|27,4847,6%,-85.04109589,NOT GO -> Have Pico
683_Elektrindo,683_Elektrindo|441PC157E_CO|430730|4,4844,5%,-81.37037037,NOT GO -> Have Pico
267_Kalimalangmall-MAC,267_Kalimalangmall-MAC|441PL510E|440293|11,4842,11%,-80.43478261,NOT GO -> Have Pico
1133_PASAR TANAH ABANG BUKIT,1133_PASAR TANAH ABANG BUKIT|4424835E_CO|420663|1,4839,6%,-78.84615385,NOT GO -> Good Coverage from Surrounding
503_Indosiar-ACA,503_Indosiar-ACA|441PL002E_CO|421111|26,4836,12%,-82.28571429,NOT GO -> Have Pico
803_Grandadapcity-TBG,803_Grandadapcity-TBG|4471049E_CO|470036|7,4836,29%,-105.82,NOT GO -> Have Pico
1154_PASAR KAMPUNG AMBON,1154_PASAR KAMPUNG AMBON|SH4412210E_CO|410884|7,4823,10%,-102,OK -> GO with Change SOW
849_Rsbethsaida,849_Rsbethsaida|441PL259E-LTE-BETHSAIDA-HOSPITALSERPONG|470600|4,4812,15%,-74.72,NOT GO -> Have Pico
930_Bgrcitycntr,930_Bgrcitycntr|441PC980E_CO|460019|8,4811,6%,-112,NOT GO -> Have Pico
228_Antam,228_Antam|4445146E_C2|440666|3,4811,5%,-93.05882353,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|4443881E_BB|440804|6,4809,8%,-96.3125,NOT GO -> Have Pico
465_Aptpldnpark,465_Aptpldnpark|4412949E_CO|411231|1,4803,15%,-84.5,NOT GO -> Have Pico
1171_Hermina Ciruas,1171_Hermina Ciruas|4483718E_C2|480827|9,4800,9%,-96.77941176,"NOT GO -> Small Building, covered by Surrounding"
309_Merlyenparkhotel,309_Merlyenparkhotel|4415792E_CO|410256|3,4798,5%,-90.48484848,NOT GO -> Covered by Surrounding
796_Mabestnib3,796_Mabestnib3|4445640E_CO|440251|7,4793,18%,-92.875,NOT GO -> Hard Sitaq
1183_Hermina Karawang,1183_Hermina Karawang|4451972E_CO|450385|5,4780,26%,-84.20833333,"NOT GO -> Small Building, covered by Surrounding"
