rsrp-l900-qty,rsrp-l900-avg,compare,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
162,-106.2962963,TRUE,"POLYGON ((105.862133 -6.60652, 105.862493 -6.60652, 105.862493 -6.606161, 105.862133 -6.606161, 105.862133 -6.60652))",BANTEN,PANDEGLANG,ANGSANA,36_1_7,90.28116625,KAB. PANDEGLANG_angsana,angsana,KAB. PANDEGLANG,P2,Rural
187,-116.5561497,TRUE,"POLYGON ((105.863212 -6.415319, 105.863571 -6.415319, 105.863571 -6.41496, 105.863212 -6.41496, 105.863212 -6.415319))",BANTEN,PANDEGLANG,PAGELARAN,36_1_9,42.19481086,KAB. PANDEGLANG_pagelaran,pagelaran,KAB. PANDEGLANG,P2,SubUrban
289,-115.532872,TRUE,"POLYGON ((105.863571 -6.607239, 105.86393 -6.607239, 105.86393 -6.60688, 105.863571 -6.60688, 105.863571 -6.607239))",BANTEN,PANDEGLANG,ANGSANA,36_1_7,90.28116625,KAB. PANDEGLANG_angsana,angsana,KAB. PANDEGLANG,P2,Rural
242,-111.0289256,TRUE,"POLYGON ((105.86429 -6.452697, 105.864649 -6.452697, 105.864649 -6.452338, 105.86429 -6.452338, 105.86429 -6.452697))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
500,-120.852,TRUE,"POLYGON ((105.877947 -6.640304, 105.878306 -6.640304, 105.878306 -6.639944, 105.877947 -6.639944, 105.877947 -6.640304))",BANTEN,PANDEGLANG,MUNJUL,36_1_8,79.13150374,KAB. PANDEGLANG_munjul,munjul,KAB. PANDEGLANG,P2,Rural
224,-116.6651786,TRUE,"POLYGON ((105.882979 -6.766094, 105.883338 -6.766094, 105.883338 -6.765734, 105.882979 -6.765734, 105.882979 -6.766094))",BANTEN,LEBAK,WANASALAM,36_2_21,115.9143716,KAB. LEBAK_wanasalam,wanasalam,KAB. LEBAK,P2,Rural
258,-110.6550388,TRUE,"POLYGON ((105.884057 -6.37902, 105.884416 -6.37902, 105.884416 -6.378661, 105.884057 -6.378661, 105.884057 -6.37902))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
244,-117.602459,TRUE,"POLYGON ((105.884057 -6.485402, 105.884416 -6.485402, 105.884416 -6.485043, 105.884057 -6.485043, 105.884057 -6.485402))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
158,-117.7594937,TRUE,"POLYGON ((105.886573 -6.45701, 105.886932 -6.45701, 105.886932 -6.45665, 105.886573 -6.45665, 105.886573 -6.45701))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
183,-118.7322404,TRUE,"POLYGON ((105.886573 -6.496544, 105.886932 -6.496544, 105.886932 -6.496184, 105.886573 -6.496184, 105.886573 -6.496544))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
