rsrp-combined-qty,rsrp-combined-avg,compare,geometry,Tower ID,Frequency System,Longitude,Latitude,distance_existing,Planning ID,Lat,Long,distance_new,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
22538,-109.1130091,TRUE,"POLYGON ((107.450322 -6.418913, 107.450681 -6.418913, 107.450681 -6.418554, 107.450322 -6.418554, 107.450322 -6.418913))",,,,,,,,,,JAWA BARAT,KARAWANG,CIKAMPEK,32_15_13,36.86471888,KAB. KARAWANG_cikampek,cikampek,KAB. KARAWANG,P2,Urban
22509,-109.1446088,TRUE,"POLYGON ((107.226416 -6.362847, 107.226775 -6.362847, 107.226775 -6.362488, 107.226416 -6.362488, 107.226416 -6.362847))",,,,,,,,,,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,32_15_27,74.15596846,KAB. KARAWANG_telukjambe barat,telukjambe barat,KAB. KARAWANG,P1,SubUrban
22477,-109.0711394,TRUE,"POLYGON ((107.12219 -6.25934, 107.122549 -6.25934, 107.122549 -6.25898, 107.12219 -6.25898, 107.12219 -6.25934))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG BARAT,32_16_8,54.24539734,KAB. BEKASI_cikarang barat,cikarang barat,KAB. BEKASI,P1,Urban
22421,-109.0528968,TRUE,"POLYGON ((106.878517 -6.408131, 106.878876 -6.408131, 106.878876 -6.407772, 106.878517 -6.407772, 106.878517 -6.408131))",,,,,,,,,,JAWA BARAT,KOTA DEPOK,TAPOS,32_76_10,33.62670062,KOTA DEPOK_tapos,tapos,KOTA DEPOK,P1,Urban
21971,-107.1188385,TRUE,"POLYGON ((107.153458 -6.342002, 107.153817 -6.342002, 107.153817 -6.341642, 107.153458 -6.341642, 107.153458 -6.342002))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG SELATAN,32_16_19,54.03237402,KAB. BEKASI_cikarang selatan,cikarang selatan,KAB. BEKASI,P1,Urban
21724,-105.8398085,TRUE,"POLYGON ((107.233963 -6.223759, 107.234323 -6.223759, 107.234323 -6.2234, 107.233963 -6.2234, 107.233963 -6.223759))",,,,,,,,,,JAWA BARAT,BEKASI,KARANG BAHAGIA,32_16_10,46.10441489,KAB. BEKASI_karang bahagia,karang bahagia,KAB. BEKASI,P2,SubUrban
21421,-107.0587741,TRUE,"POLYGON ((107.310156 -6.302468, 107.310515 -6.302468, 107.310515 -6.302108, 107.310156 -6.302108, 107.310156 -6.302468))",,,,,,,,,,JAWA BARAT,KARAWANG,KARAWANG TIMUR,32_15_26,29.52810473,KAB. KARAWANG_karawang timur,karawang timur,KAB. KARAWANG,P1,Urban
21403,-109.0236883,TRUE,"POLYGON ((107.079781 -6.278388, 107.08014 -6.278388, 107.08014 -6.278029, 107.079781 -6.278029, 107.079781 -6.278388))",,,,,,,,,,JAWA BARAT,BEKASI,CIBITUNG,32_16_7,44.29257541,KAB. BEKASI_cibitung,cibitung,KAB. BEKASI,P2,Urban
21386,-111.6110072,TRUE,"POLYGON ((107.244745 -6.15116, 107.245105 -6.15116, 107.245105 -6.150801, 107.244745 -6.150801, 107.244745 -6.15116))",,,,,,,,,,JAWA BARAT,BEKASI,PEBAYURAN,32_16_13,95.3255672,KAB. BEKASI_pebayuran,pebayuran,KAB. BEKASI,P2,SubUrban
21103,-106.7627352,TRUE,"POLYGON ((107.066483 -6.384052, 107.066842 -6.384052, 107.066842 -6.383692, 107.066483 -6.383692, 107.066483 -6.384052))",,,,,,,,,,JAWA BARAT,BEKASI,SERANG BARU,32_16_21,59.41833543,KAB. BEKASI_serang baru,serang baru,KAB. BEKASI,P2,SubUrban
