rsrp-l1800-qty,rsrp-level,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
331,-111.673716,"POLYGON ((105.7022 -6.674806, 105.70256 -6.674806, 105.70256 -6.674447, 105.7022 -6.674447, 105.7022 -6.674806))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
312,-106.7211538,"POLYGON ((105.70256 -6.674806, 105.702919 -6.674806, 105.702919 -6.674447, 105.70256 -6.674447, 105.70256 -6.674806))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
619,-108.8400646,"POLYGON ((105.702919 -6.633475, 105.703279 -6.633475, 105.703279 -6.633116, 105.702919 -6.633116, 105.702919 -6.633475))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
1200,-105.33,"POLYGON ((105.703279 -6.545782, 105.703638 -6.545782, 105.703638 -6.545422, 105.703279 -6.545422, 105.703279 -6.545782))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
1099,-106.0300273,"POLYGON ((105.703638 -6.545782, 105.703997 -6.545782, 105.703997 -6.545422, 105.703638 -6.545422, 105.703638 -6.545782))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
939,-109.914803,"POLYGON ((105.703638 -6.634194, 105.703997 -6.634194, 105.703997 -6.633835, 105.703638 -6.633835, 105.703638 -6.634194))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
324,-106.0092593,"POLYGON ((105.705794 -6.545422, 105.706154 -6.545422, 105.706154 -6.545063, 105.705794 -6.545063, 105.705794 -6.545422))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
196,-106.6122449,"POLYGON ((105.706513 -6.67876, 105.706873 -6.67876, 105.706873 -6.6784, 105.706513 -6.6784, 105.706513 -6.67876))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
202,-108.3663366,"POLYGON ((105.706513 -6.72045, 105.706873 -6.72045, 105.706873 -6.720091, 105.706513 -6.720091, 105.706513 -6.72045))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
171,-106.4678363,"POLYGON ((105.71442 -6.609755, 105.714779 -6.609755, 105.714779 -6.609395, 105.71442 -6.609395, 105.71442 -6.609755))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
154,-107.1298701,"POLYGON ((105.714779 -6.609755, 105.715139 -6.609755, 105.715139 -6.609395, 105.714779 -6.609395, 105.714779 -6.609755))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
220,-105.5727273,"POLYGON ((105.715139 -6.533203, 105.715498 -6.533203, 105.715498 -6.532843, 105.715139 -6.532843, 105.715139 -6.533203))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
164,-110.1890244,"POLYGON ((105.715139 -6.608677, 105.715498 -6.608677, 105.715498 -6.608317, 105.715139 -6.608317, 105.715139 -6.608677))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
211,-107.7630332,"POLYGON ((105.715139 -6.609755, 105.715498 -6.609755, 105.715498 -6.609395, 105.715139 -6.609395, 105.715139 -6.609755))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
277,-106.4440433,"POLYGON ((105.715498 -6.609755, 105.715858 -6.609755, 105.715858 -6.609395, 105.715498 -6.609395, 105.715498 -6.609755))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
251,-107.1633466,"POLYGON ((105.716217 -6.69062, 105.716576 -6.69062, 105.716576 -6.69026, 105.716217 -6.69026, 105.716217 -6.69062))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
391,-106.028133,"POLYGON ((105.716217 -6.704996, 105.716576 -6.704996, 105.716576 -6.704636, 105.716217 -6.704636, 105.716217 -6.704996))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
323,-105.9133127,"POLYGON ((105.716217 -6.705355, 105.716576 -6.705355, 105.716576 -6.704996, 105.716217 -6.704996, 105.716217 -6.705355))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
195,-110.8666667,"POLYGON ((105.716936 -6.688463, 105.717295 -6.688463, 105.717295 -6.688104, 105.716936 -6.688104, 105.716936 -6.688463))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
