Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_441PC305E_36_P2M_M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G18_441PC305E_24_P2M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G21_MC4431968E21_7,MC4431968E_CO,MC4431968E,MC4431968E_LTE_KEBON_MANGGA
JK4G18_4435674E_4,5674G_CO,4435674E,4435674E_LTE_CIPULIR_MAKAM
JK4G18_4435674E_6,5674G_CO,4435674E,4435674E_LTE_CIPULIR_MAKAM
JK4G21_MC4431968E21_8,MC4431968E_CO,MC4431968E,MC4431968E_LTE_KEBON_MANGGA
JK4G18_441PC305E_25_P2M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G18_441PC305E_26_P2M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G18_441PC305E_34_P2M_M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G18_441PC305E_35_P2M_M,341PC305G_CO,441PC305E,441PC305E_LTE_KEBAYORAN_ICON
JK4G18_MC4431968E_6,MC4431968E_C2,MC4431968E,MC4431968E_LTE_KEBON_MANGGA
JK4G18_MC4431968E_16_M,MC4431968E_C2,MC4431968E,MC4431968E_LTE_KEBON_MANGGA
JK4G18_441PC291E_4,341PC291G_CO,441PC291E,441PC291E_LTE_APARTEMEN_PERMATA_HIJAU
JK4G21_MC4431502E21_8,MC4431502E_CO,MC4431502E,MC4431502E_LTE_SEHA_KEBAYORAN_LAMA
JK4G21_MC4431502E21_9,MC4431502E_CO,MC4431502E,MC4431502E_LTE_SEHA_KEBAYORAN_LAMA
JK4G18_MC4431502E_4,MC4431502E_CO,MC4431502E,MC4431502E_LTE_SEHA_KEBAYORAN_LAMA
JK4G18_MC4431502E_14_M,MC4431502E_CO,MC4431502E,MC4431502E_LTE_SEHA_KEBAYORAN_LAMA
JK4G21_MC4431580E21_7,MC3431580G_CO,MC4431580E,MC4431580E_LTE_JATAYU_KEBAYORAN
JK4G21_MC4431580E21_8,MC3431580G_CO,MC4431580E,MC4431580E_LTE_JATAYU_KEBAYORAN
JK4G21_MC4431580E21_9,MC3431580G_CO,MC4431580E,MC4431580E_LTE_JATAYU_KEBAYORAN
JK4G21_4433007E21_7,3433007G_CO,4433007E,4433007E_LTE_ISKANDARMUDA
JK4G21_4433007E21_8,3433007G_CO,4433007E,4433007E_LTE_ISKANDARMUDA
JK4G21_4433007E21_9,3433007G_CO,4433007E,4433007E_LTE_ISKANDARMUDA
JK4G21_MC4431340E21_7,MC4431340E_CO,MC4431340E,MC4431340E_LTE_DARMA_PUTRA_KEBAYORAN_BARU
JK4G21_MC4431340E21_9,MC4431340E_C2,MC4431340E,MC4431340E_LTE_DARMA_PUTRA_KEBAYORAN_BARU
JK4G18_441PC349E_5,341PC349G_CO,441PC349E,441PC349E_LTE_PAKUBUWONO_RESIDENCE
JK4G18_441PC349E_4,341PC349G_CO,441PC349E,441PC349E_LTE_PAKUBUWONO_RESIDENCE
JK4G18_441PC349E_6,341PC349G_CO,441PC349E,441PC349E_LTE_PAKUBUWONO_RESIDENCE
JK4G18_441PL389E_4,341PL389G_CO,441PL389E,441PL389E_LTE_PAKUBUWONO_SIGNATURE_TOWER_A
JK4G18_441PL391E_4,341PL391G_CO,441PL391E,441PL391E_LTE_PAKUBUWONO_SIGNATURE_TOWER_B
JK4G18_441PL391E_5,341PL391G_CO,441PL391E,441PL391E_LTE_PAKUBUWONO_SIGNATURE_TOWER_B
JK4G21_441PC346E21_7,441PC346E,441PC346E,441PC346E_LTE_BINUS
JK4G21_441PC346E21_19_P2M,441PC346E,441PC346E,441PC346E_LTE_BINUS
JK4G18_441SC362E_4,441SC362E,441SC362E,441SC362E_LTE_GANDARIA_CITY
JK4G18_443PC004E_24_M,341PC004G_CO,443PC004E,443PC004E_LTE_MENARA_SENTRAYA_CIMB_NIAGA
JK4G18_443PC004E_4,341PC004G_CO,443PC004E,443PC004E_LTE_MENARA_SENTRAYA_CIMB_NIAGA
JK4G18_443PC004E_5,341PC004G_CO,443PC004E,443PC004E_LTE_MENARA_SENTRAYA_CIMB_NIAGA
JK4G18_443PC004E_6,341PC004G_CO,443PC004E,443PC004E_LTE_MENARA_SENTRAYA_CIMB_NIAGA
JK4G18_443PC004E_14,341PC004G_CO,443PC004E,443PC004E_LTE_MENARA_SENTRAYA_CIMB_NIAGA
JK4G18_443PC028E_4,443PC028E,443PC028E,443PC028E_LTE_MELAWAI
